1573996159918,Vehicle Speed,0
1573996160062,Mass Air Flow,3.26
1573996160199,Vehicle Speed,0
1573996160349,Mass Air Flow,3.44
1573996160523,Vehicle Speed,0
1573996160704,Mass Air Flow,3.42
1573996160867,Vehicle Speed,0
1573996161046,Mass Air Flow,3.46
1573996161258,Vehicle Speed,0
1573996161429,Mass Air Flow,4.58
1573996161601,Vehicle Speed,1
1573996161784,Mass Air Flow,4.38
1573996161960,Vehicle Speed,1
1573996162120,Mass Air Flow,4.8
1573996162299,Vehicle Speed,2
1573996162449,Mass Air Flow,4.8
1573996162597,Vehicle Speed,2
1573996162822,Mass Air Flow,4.76
1573996163016,Vehicle Speed,2
1573996163172,Mass Air Flow,4.72
1573996163329,Vehicle Speed,2
1573996163487,Mass Air Flow,4.86
1573996163649,Vehicle Speed,3
1573996163804,Mass Air Flow,6.56
1573996163988,Vehicle Speed,3
1573996164170,Mass Air Flow,13.36
1573996164402,Vehicle Speed,4
1573996164581,Mass Air Flow,15.5
1573996164764,Vehicle Speed,4
1573996164943,Mass Air Flow,12.46
1573996165124,Vehicle Speed,6
1573996165283,Mass Air Flow,11.12
1573996165429,Vehicle Speed,6
1573996165606,Mass Air Flow,9.94
1573996165786,Vehicle Speed,9
1573996166019,Mass Air Flow,8.86
1573996166192,Vehicle Speed,9
1573996166344,Mass Air Flow,8.82
1573996166502,Vehicle Speed,10
1573996166682,Mass Air Flow,8.84
1573996166859,Vehicle Speed,10
1573996167030,Mass Air Flow,8.7
1573996167201,Vehicle Speed,11
1573996167351,Mass Air Flow,7.68
1573996167551,Vehicle Speed,11
1573996167746,Mass Air Flow,5.56
1573996167946,Vehicle Speed,12
1573996168125,Mass Air Flow,4.8
1573996168305,Vehicle Speed,12
1573996168461,Mass Air Flow,4.68
1573996168638,Vehicle Speed,12
1573996168819,Mass Air Flow,4.74
1573996168997,Vehicle Speed,12
1573996169201,Mass Air Flow,4.7
1573996169393,Vehicle Speed,12
1573996169570,Mass Air Flow,4.78
1573996169745,Vehicle Speed,12
1573996169923,Mass Air Flow,4.74
1573996170109,Vehicle Speed,11
1573996170261,Mass Air Flow,4.54
1573996170412,Vehicle Speed,11
1573996170592,Mass Air Flow,4.06
1573996170858,Vehicle Speed,10
1573996171037,Mass Air Flow,3.58
1573996171203,Vehicle Speed,9
1573996171349,Mass Air Flow,3.44
1573996171499,Vehicle Speed,9
1573996171660,Mass Air Flow,3.26
1573996171815,Vehicle Speed,9
1573996172000,Mass Air Flow,3.3
1573996172186,Vehicle Speed,8
1573996172402,Mass Air Flow,3.32
1573996172578,Vehicle Speed,8
1573996172757,Mass Air Flow,3.28
1573996172944,Vehicle Speed,7
1573996173125,Mass Air Flow,3.3
1573996173296,Vehicle Speed,7
1573996173449,Mass Air Flow,3.32
1573996173625,Vehicle Speed,6
1573996173803,Mass Air Flow,3.18
1573996174003,Vehicle Speed,6
1573996174176,Mass Air Flow,4.12
1573996174339,Vehicle Speed,6
1573996174497,Mass Air Flow,6.28
1573996174679,Vehicle Speed,6
1573996174857,Mass Air Flow,7.26
1573996175036,Vehicle Speed,6
1573996175222,Mass Air Flow,7.84
1573996175373,Vehicle Speed,6
1573996175539,Mass Air Flow,8.92
1573996175718,Vehicle Speed,7
1573996175897,Mass Air Flow,9.76
1573996176078,Vehicle Speed,7
1573996176255,Mass Air Flow,8.74
1573996176412,Vehicle Speed,9
1573996176589,Mass Air Flow,5.5
1573996176787,Vehicle Speed,9
1573996176965,Mass Air Flow,4.22
1573996177137,Vehicle Speed,10
1573996177309,Mass Air Flow,3.72
1573996177461,Vehicle Speed,10
1573996177631,Mass Air Flow,4.04
1573996177826,Vehicle Speed,10
1573996177990,Mass Air Flow,4.9
1573996178188,Vehicle Speed,10
1573996178355,Mass Air Flow,5.8
1573996178538,Vehicle Speed,10
1573996178851,Mass Air Flow,6.22
1573996179029,Vehicle Speed,10
1573996179209,Mass Air Flow,6.7
1573996179365,Vehicle Speed,10
1573996179525,Mass Air Flow,5.56
1573996179703,Vehicle Speed,11
1573996179882,Mass Air Flow,4.96
1573996180064,Vehicle Speed,11
1573996180260,Mass Air Flow,6.82
1573996180456,Vehicle Speed,12
1573996180650,Mass Air Flow,7.92
1573996180808,Vehicle Speed,12
1573996180985,Mass Air Flow,8.04
1573996181160,Vehicle Speed,12
1573996181312,Mass Air Flow,7.82
1573996181464,Vehicle Speed,12
1573996181645,Mass Air Flow,7.8
1573996181827,Vehicle Speed,12
1573996182081,Mass Air Flow,7.94
1573996182255,Vehicle Speed,12
1573996182397,Mass Air Flow,8.0
1573996182562,Vehicle Speed,13
1573996182740,Mass Air Flow,8.0
1573996182920,Vehicle Speed,13
1573996183100,Mass Air Flow,9.24
1573996183264,Vehicle Speed,15
1573996183410,Mass Air Flow,11.8
1573996183620,Vehicle Speed,15
1573996183778,Mass Air Flow,10.92
1573996183951,Vehicle Speed,16
1573996184132,Mass Air Flow,10.06
1573996184292,Vehicle Speed,16
1573996184459,Mass Air Flow,8.78
1573996184609,Vehicle Speed,16
1573996184786,Mass Air Flow,8.3
1573996184960,Vehicle Speed,17
1573996185195,Mass Air Flow,8.64
1573996185366,Vehicle Speed,19
1573996185527,Mass Air Flow,8.86
1573996185706,Vehicle Speed,19
1573996185883,Mass Air Flow,8.84
1573996186062,Vehicle Speed,20
1573996186245,Mass Air Flow,8.86
1573996186398,Vehicle Speed,20
1573996186572,Mass Air Flow,8.16
1573996186739,Vehicle Speed,20
1573996186912,Mass Air Flow,8.2
1573996187072,Vehicle Speed,20
1573996187265,Mass Air Flow,8.1
1573996187410,Vehicle Speed,20
1573996187561,Mass Air Flow,7.74
1573996187733,Vehicle Speed,21
1573996187900,Mass Air Flow,7.76
1573996188080,Vehicle Speed,21
1573996188252,Mass Air Flow,7.56
1573996188480,Vehicle Speed,22
1573996188658,Mass Air Flow,7.96
1573996188836,Vehicle Speed,22
1573996189016,Mass Air Flow,6.5
1573996189189,Vehicle Speed,23
1573996189339,Mass Air Flow,4.78
1573996189492,Vehicle Speed,23
1573996189676,Mass Air Flow,3.9
1573996189852,Vehicle Speed,24
1573996190057,Mass Air Flow,2.98
1573996190230,Vehicle Speed,24
1573996190388,Mass Air Flow,2.68
1573996190542,Vehicle Speed,24
1573996190721,Mass Air Flow,2.68
1573996190890,Vehicle Speed,24
1573996191065,Mass Air Flow,2.62
1573996191240,Vehicle Speed,23
1573996191412,Mass Air Flow,2.62
1573996191610,Vehicle Speed,23
1573996191792,Mass Air Flow,2.62
1573996191970,Vehicle Speed,22
1573996192154,Mass Air Flow,2.6
1573996192307,Vehicle Speed,22
1573996192454,Mass Air Flow,2.68
1573996192597,Vehicle Speed,20
1573996192764,Mass Air Flow,2.54
1573996192940,Vehicle Speed,20
1573996193154,Mass Air Flow,2.96
1573996193332,Vehicle Speed,17
1573996193489,Mass Air Flow,2.94
1573996193668,Vehicle Speed,17
1573996193838,Mass Air Flow,2.9
1573996194016,Vehicle Speed,15
1573996194197,Mass Air Flow,2.94
1573996194348,Vehicle Speed,15
1573996194502,Mass Air Flow,3.0
1573996194678,Vehicle Speed,13
1573996194884,Mass Air Flow,2.98
1573996195060,Vehicle Speed,13
1573996195241,Mass Air Flow,2.92
1573996195407,Vehicle Speed,11
1573996195584,Mass Air Flow,3.22
1573996195759,Vehicle Speed,11
1573996195939,Mass Air Flow,4.08
1573996196116,Vehicle Speed,9
1573996196333,Mass Air Flow,4.34
1573996196541,Vehicle Speed,9
1573996196719,Mass Air Flow,4.28
1573996196890,Vehicle Speed,8
1573996197047,Mass Air Flow,4.46
1573996197221,Vehicle Speed,8
1573996197379,Mass Air Flow,4.34
1573996197535,Vehicle Speed,7
1573996197712,Mass Air Flow,4.48
1573996197932,Vehicle Speed,7
1573996198116,Mass Air Flow,4.62
1573996198294,Vehicle Speed,6
1573996198449,Mass Air Flow,4.64
1573996198635,Vehicle Speed,6
1573996198810,Mass Air Flow,4.38
1573996198984,Vehicle Speed,5
1573996199164,Mass Air Flow,4.24
1573996199321,Vehicle Speed,5
1573996199471,Mass Air Flow,4.14
1573996199660,Vehicle Speed,4
1573996199826,Mass Air Flow,4.04
1573996200007,Vehicle Speed,4
1573996200171,Mass Air Flow,4.04
1573996200311,Vehicle Speed,3
1573996200465,Mass Air Flow,4.04
1573996200642,Vehicle Speed,3
1573996200822,Mass Air Flow,4.04
1573996200997,Vehicle Speed,2
1573996201257,Mass Air Flow,4.08
1573996201405,Vehicle Speed,2
1573996201561,Mass Air Flow,4.28
1573996201741,Vehicle Speed,2
1573996201918,Mass Air Flow,4.18
1573996202094,Vehicle Speed,2
1573996202265,Mass Air Flow,4.24
1573996202405,Vehicle Speed,1
1573996202566,Mass Air Flow,4.1
1573996202798,Vehicle Speed,1
1573996202978,Mass Air Flow,4.06
1573996203162,Vehicle Speed,0
1573996203320,Mass Air Flow,4.1
1573996203476,Vehicle Speed,0
1573996203667,Mass Air Flow,4.04
1573996203842,Vehicle Speed,0
1573996204021,Mass Air Flow,4.1
1573996204201,Vehicle Speed,0
1573996204405,Mass Air Flow,4.08
1573996204573,Vehicle Speed,0
1573996204748,Mass Air Flow,4.06
1573996204922,Vehicle Speed,0
1573996205098,Mass Air Flow,4.04
1573996205267,Vehicle Speed,0
1573996205418,Mass Air Flow,4.08
1573996205596,Vehicle Speed,0
1573996205772,Mass Air Flow,4.1
1573996206006,Vehicle Speed,0
1573996206185,Mass Air Flow,4.08
1573996206337,Vehicle Speed,0
1573996206507,Mass Air Flow,4.08
1573996206682,Vehicle Speed,0
1573996206856,Mass Air Flow,4.1
1573996207024,Vehicle Speed,0
1573996207187,Mass Air Flow,4.18
1573996207350,Vehicle Speed,0
1573996207547,Mass Air Flow,4.1
1573996207732,Vehicle Speed,0
1573996207912,Mass Air Flow,4.1
1573996208087,Vehicle Speed,0
1573996208261,Mass Air Flow,4.04
1573996208420,Vehicle Speed,0
1573996208592,Mass Air Flow,4.08
1573996208788,Vehicle Speed,0
1573996208968,Mass Air Flow,4.04
1573996209134,Vehicle Speed,0
1573996209309,Mass Air Flow,4.04
1573996209463,Vehicle Speed,0
1573996209639,Mass Air Flow,4.08
1573996209816,Vehicle Speed,0
1573996209994,Mass Air Flow,4.06
1573996210185,Vehicle Speed,0
1573996210338,Mass Air Flow,4.12
1573996210516,Vehicle Speed,0
1573996210734,Mass Air Flow,4.1
1573996210915,Vehicle Speed,0
1573996211088,Mass Air Flow,4.06
1573996211259,Vehicle Speed,0
1573996211414,Mass Air Flow,4.06
1573996211585,Vehicle Speed,0
1573996211767,Mass Air Flow,4.18
1573996211942,Vehicle Speed,0
1573996212118,Mass Air Flow,4.12
1573996212328,Vehicle Speed,0
1573996212537,Mass Air Flow,4.2
